id	logFC	AveExpr	t	P.Value	adj.P.Val	B
FMO4	-1.30335233616844	6.9722992173913	-19.0203330402169	1.7771263806575e-58	2.40667340100541e-56	122.38408037472
TRIM22	1.40384494304239	8.42426678985507	18.994239151877	2.31871694457968e-58	3.11417099722019e-56	122.119425715796
HADHB	-0.646040171151698	9.92701861594203	-18.9924231467119	2.36204207226233e-58	3.14635620625698e-56	122.101007951637
TMEM173	0.950101246793087	8.81502722222222	18.9880398490735	2.46997944540912e-58	3.26338503799542e-56	122.056553413665
DHRS11	-2.00428626101505	9.14359632850242	-18.9705052148127	2.95338206892254e-58	3.87059774210163e-56	121.878727453555
APOBEC3B	-1.86959513476017	7.92767130917874	-18.9682294272237	3.0226945244074e-58	3.92974469729157e-56	121.85564855981
HSD17B2	-1.62135314403234	9.35842119323672	-18.9668330433378	3.06602601495559e-58	3.95444355309868e-56	121.841487842289
MAGI1	-0.759328699525936	7.36426311594203	-18.9563211091105	3.41279007256915e-58	4.36702767474971e-56	121.734888666745
GBA3	-2.72855380200781	6.51439528502415	-18.9544179463163	3.47963926272812e-58	4.4177826295777e-56	121.715589547021
KDELR3	1.2901393167875	8.97318362318841	18.9456323751183	3.80560922158856e-58	4.79418259380121e-56	121.626500726858
SCUBE2	-1.31998225341606	6.91518346859903	-18.9305383653471	4.43849843792602e-58	5.54846447036429e-56	121.473448719777
SNX30	-0.89397813552705	8.72301565700483	-18.9227069475623	4.80728091684713e-58	5.96359711295288e-56	121.394042122362
PECAM1	1.67189509815952	9.86232342995169	18.9181922866092	5.03363650703002e-58	6.19709294513219e-56	121.348266795377
EPB41L1	-0.748620537646401	7.26302421497585	-18.9141643894485	5.24456480982509e-58	6.40822727251635e-56	121.307427539327
ABAT	-0.958041540295592	7.43819498067633	-18.8812011677808	7.3383060415482e-58	8.89961279710447e-56	120.973233242387
IFI16	1.32057932794199	9.07048870289855	18.8318876445857	1.2128591687858e-57	1.46001291495837e-55	120.473351822553
SEC24D	0.901066779280535	8.12944256280193	18.8262513089978	1.28454336653649e-57	1.53493487129297e-55	120.416223555212
ABCA12	2.75145312444228	6.97002701449275	18.8091042175324	1.52972718395697e-57	1.81456908514487e-55	120.242433497216
ANXA5	1.07758642624093	10.062192352657	18.7772015430301	2.11714053022668e-57	2.49316309831259e-55	119.919124005048
PEA15	0.95172359906582	9.78053987439614	18.7512719987912	2.75706575302631e-57	3.22338673039069e-55	119.656379000354
TBXAS1	0.843537039319568	7.78666543478261	18.7500756648085	2.79086432236239e-57	3.23959543590794e-55	119.644257192863
NAT8	-1.09899241292526	5.27091012318841	-18.734550227014	3.26894893067207e-57	3.76763752286184e-55	119.486951858511
ANXA1	1.64254628186001	9.74253154347826	18.7314349253098	3.37432305192242e-57	3.86169886737967e-55	119.455388550399
FDX1	-0.603979621235352	7.89631157729469	-18.7284889095179	3.47709285961159e-57	3.95148503926909e-55	119.425540782902
CDKN2B	-1.204066336029	8.32119483333333	-18.6951495974091	4.88267657416338e-57	5.51030395880063e-55	119.087787594489
